gerencia;loc;localidade;unidade;ose;processo;tipo;descricao;equipe;responsavel;data;prazo;qtd_equipamentos
GRGA;QXG1;QUEDAS DO IGUAÄU;EET-01 ( ETA-01 );QX017309;PAINêIS;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEJ;;19/09/2020;18/10/2020;2
GRGA;LIG2;LARANJEIRAS DO SUL;EET-02 ( INTERMEDIARIA );LI017723;PAINêIS;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEJ;;20/09/2020;19/10/2020;1
GRGA;DZU1;CAND‡I;EEE-01;DZ009795;PAINEL;ESGOTO;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEJ;;21/09/2020;20/10/2020;0
GRGA;DZX1;CAND‡I;ETE-01;DZ009803;ETE-01;ESGOTO;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEJ;;21/09/2020;20/10/2020;0
GRGA;RNU2;RESERVA DO IGUAÄU;EEE-02 (OBRA USPO);RN009641;PAINEL;ESGOTO;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEJ;;21/09/2020;20/10/2020;0
GRGA;LIU3;LARANJEIRAS DO SUL;EEE-03 INTERMEDIARIA (B);LI017705;CMB-01;ESGOTO;INSPEÄ«O E REVIS«O MEC∂NICA EM SUBMERS÷VEIS;SDMEJ;;21/09/2020;10/10/2020;1
GRGA;DZD1;CAND‡I;EEB-01 RIO PASSO GRANDE;DZ009821;BOMBEAMENTO DE PROCESSO;µGUA;INSPEÄ«O E REVIS«O MEC∂NICA EM EQUIPAMENTOS;SDMEJ;;21/09/2020;02/10/2020;1
GRGA;DZJ1;CAND‡I;ETA-01 ( 3 PALMEIRAS );DZ009812;PAINêIS;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEJ;;23/09/2020;22/10/2020;0
GRGA;LIG1;LARANJEIRAS DO SUL;EET-01 ( RIO DO LE«O );LI017714;PAINêIS;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEJ;;25/09/2020;24/10/2020;1
GRGA;QXG5;QUEDAS DO IGUAÄU;EET-05;QX017327;PAINêIS;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEJ;;25/09/2020;24/10/2020;2
GRPG;QDSA;PONTA GROSSA;µREA DE AUTOMAÄ«O PONTA GROSSA SAA;QD197788;TRANSMISSOR DE VAZ«O 03.06FT01(CARLOS CAVAL;µGUA;PREVENTIVA EM CONJß DE MEDIÄ«O DE VAZ«O ELETROMAGNêTICOS.;SDMI;;07/09/2020;06/10/2020;0
