gerencia;loc;localidade;unidade;ose;processo;tipo;descricao;equipe;responsavel;data;prazo;qtd_equipamentos
GRPG;JCD2;IMBITUVA;EEB-02 (HIGRAS);JC043382;BOMBEAMENTO DE PROCESSO;ÁGUA;INSPEÇÃO E REVISÃO ELETROMECÂNICA EM UNIDADES OPERACIONAIS;SDMEH;;12/09/2020;01/10/2020;4
GRPG;JJGD;IRATI;EET-13 FÓSFORO;JJ054867;PAINÉIS;ÁGUA;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEH;;15/09/2020;14/10/2020;1
GRPG;JJD2;IRATI;EEB-02 (IMBITUVÃO);JJ054894;EEB-02 (IMBITUVÃO);ÁGUA;INSPEÇÃO E REVISÃO ELETROMECÂNICA EM UNIDADES OPERACIONAIS;SDMEH;;16/09/2020;27/09/2020;2
GRPG;LQG1;LONTRÃO (IMBITUVA);EET-01;LQ001144;PAINÉIS;ÁGUA;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEH;;18/09/2020;17/10/2020;1
GRPG;JJG3;IRATI;EET-03 CALIFÓRNIA;JJ054876;BOMBA;ÁGUA;SUBSTITUIR ÓLEO DE EQUIPAMENTOS;SDMEH;;18/09/2020;17/10/2020;1
GRPG;JJU6;IRATI;EEE-06 RIOZINHO;JJ054885;PAINEL;ESGOTO;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEH;;19/09/2020;18/10/2020;1
GRPG;JCU4;IMBITUVA;EEE-04 VILA NOVA;JC043409;EEE-04 VILA NOVA;ESGOTO;INSPEÇÃO E REVISÃO ELETROMECÂNICA EM UNIDADES OPERACIONAIS;SDMEH;;21/09/2020;10/10/2020;1
GRPG;JJA2;IRATI;CSB-02 (SAÍDA PARA IMBITUVA);JJ054902;CSB-02 (SAÍDA PARA IMBITUVA);ÁGUA;INSPEÇÃO E REVISÃO ELETROMECÂNICA EM UNIDADES OPERACIONAIS;SDMEH;;21/09/2020;20/10/2020;1
GRPG;GWG1;FERNANDES PINHEIRO;EET-01;GW002837;PAINEL;ÁGUA;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEH;;21/09/2020;20/10/2020;1
GRPG;JCU2;IMBITUVA;EEE-02;JC043391;BOMBA;ESGOTO;SUBSTITUIR ÓLEO DE EQUIPAMENTOS;SDMEH;;23/09/2020;22/10/2020;1
GRPG;JJU2;IRATI;EEE-02 (LAGOA);JJ054911;PAINÉIS;ESGOTO;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEH;;25/09/2020;24/10/2020;1
GRUV;RIU5;REBOUÇAS;EEE-05;RI015590;PAINEL;ESGOTO;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEH;;09/09/2020;08/10/2020;0
GRUV;RIJ1;REBOUÇAS;ETA-01;RI015608;FLOCULAÇÃO (CMR-01-02);ÁGUA;INSPEÇÃO E REVISÃO MECÂNICA EM EQUIPAMENTOS;SDMEH;;09/09/2020;28/09/2020;0
GRUV;RIG1;REBOUÇAS;EET-01;RI015617;BOMBEAMENTO DE PROCESSO;ÁGUA;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEH;;25/09/2020;24/10/2020;1
GRGA;QBG1;POEMA (NOVA TEBAS);EET-01 POÇO FALSO (TORRE);QB003070;PAINÉIS;ÁGUA;INSPEÇÃO E REVISÃO ELETROMECÂNICA EM UNIDADES OPERACIONAIS;SDMEI;;04/09/2020;03/10/2020;1
GRGA;QBA3;POEMA (NOVA TEBAS);CSB-03 CAVALO;QB003043;PAINÉIS;ÁGUA;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEI;;04/09/2020;03/10/2020;1
GRGA;QBA1;POEMA (NOVA TEBAS);CSB-01 EST AGUA ROSEIRA (TORRE);QB003052;CSB-01 EST AGUA ROSEIRA (TORRE);ÁGUA;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEI;;04/09/2020;03/10/2020;1
GRGA;QBA2;POEMA (NOVA TEBAS);CSB-02( EST. POM. M. ALQUEIRES ) VILA RURAL;QB003061;PAINÉIS;ÁGUA;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEI;;04/09/2020;03/10/2020;1
GRGA;IKG9;GUARAPUAVA;EET-09 AEROPORTO;IK070742;PAINÉIS;ÁGUA;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEI;;07/09/2020;06/10/2020;1
GRGA;GJA9;ENTRE RIOS (GUARAPUAVA);CSB-02 LAVOURA ( COLÔN. CACHOEIRA);GJ012403;CSB-02 LAVOURA ( COLÔN. CACHOEIRA);ÁGUA;INSPEÇÃO E REVISÃO ELETROMECÂNICA EM UNIDADES OPERACIONAIS;SDMEI;;10/09/2020;09/10/2020;1
GRGA;IKD1;GUARAPUAVA;EEB-01 ( CAPTAÇÃO );IK070760;MOTOR;ÁGUA;SUBSTITUIR ÓLEO DE EQUIPAMENTOS;SDMEI;;11/09/2020;10/10/2020;3
GRGA;IKD1;GUARAPUAVA;EEB-01 ( CAPTAÇÃO );IK070751;BOMBA;ÁGUA;SUBSTITUIR ÓLEO DE EQUIPAMENTOS;SDMEI;;11/09/2020;10/10/2020;3
GRGA;PYJ2;PITANGA;ETA-02 (R. NOVA TEBAS);PY007580;PAINEL;ÁGUA;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEI;JONES M. COVALEKI (J;12/09/2020;11/10/2020;0
GRGA;PYJ1;PITANGA;ETA-01 (R. ALEXANDRE BUCHMANN);PY007599;ETA-01 (R. ALEXANDRE BUCHMANN);ÁGUA;INSPEÇÃO E REVISÃO ELETROMECÂNICA EM UNIDADES OPERACIONAIS;SDMEI;JONES M. COVALEKI (J;12/09/2020;01/10/2020;0
